"","season","team","conference","statName","statValue"
"284",2004,"Notre Dame","FBS Independents","passCompletions",195
"285",2023,"Notre Dame","FBS Independents","kickReturnYards",137
"286",2019,"Notre Dame","FBS Independents","puntReturns",24
"287",1900,"Notre Dame","FBS Independents","games",10
"288",2018,"Notre Dame","FBS Independents","kickReturns",14
"289",2019,"Notre Dame","FBS Independents","passAttempts",416
"290",2016,"Notre Dame","FBS Independents","rushingYards",1960
"291",1928,"Notre Dame","FBS Independents","games",9
"292",2010,"Notre Dame","FBS Independents","puntReturnYards",91
"293",1925,"Notre Dame","FBS Independents","games",10
"294",2011,"Notre Dame","FBS Independents","fumblesRecovered",6
"295",2008,"Notre Dame","FBS Independents","passCompletions",271
"296",2010,"Notre Dame","FBS Independents","firstDowns",259
"297",2021,"Notre Dame","FBS Independents","kickReturnYards",423
"298",1964,"Notre Dame","FBS Independents","games",10
"299",1944,"Notre Dame","FBS Independents","games",10
"300",1960,"Notre Dame","FBS Independents","games",10
"301",2015,"Notre Dame","FBS Independents","puntReturns",29
"302",2009,"Notre Dame","FBS Independents","passCompletions",301
"303",2014,"Notre Dame","FBS Independents","thirdDowns",191
"304",2011,"Notre Dame","FBS Independents","kickReturns",59
"305",2011,"Notre Dame","FBS Independents","possessionTime",14837
"306",2005,"Notre Dame","FBS Independents","puntReturns",36
"307",2011,"Notre Dame","FBS Independents","thirdDownConversions",81
"308",2006,"Notre Dame","FBS Independents","possessionTime",14581
"309",2013,"Notre Dame","FBS Independents","kickReturns",42
"310",2020,"Notre Dame","FBS Independents","thirdDowns",167
"311",2017,"Notre Dame","FBS Independents","firstDowns",273
"312",2010,"Notre Dame","FBS Independents","possessionTime",13826
"313",1952,"Notre Dame","FBS Independents","games",10
"314",2023,"Notre Dame","FBS Independents","fumblesRecovered",0
"315",2021,"Notre Dame","FBS Independents","passesIntercepted",15
"316",1954,"Notre Dame","FBS Independents","games",10
"317",2022,"Notre Dame","FBS Independents","passCompletions",211
"318",2018,"Notre Dame","FBS Independents","penalties",67
"319",2013,"Notre Dame","FBS Independents","fumblesRecovered",4
"320",2010,"Notre Dame","FBS Independents","interceptionYards",131
"321",2016,"Notre Dame","FBS Independents","kickReturnTDs",2
"322",2021,"Notre Dame","FBS Independents","rushingYards",1868
"323",2007,"Notre Dame","FBS Independents","fumblesRecovered",16
"324",2013,"Notre Dame","FBS Independents","interceptions",13
"325",2016,"Notre Dame","FBS Independents","tacklesForLoss",63
"326",1948,"Notre Dame","FBS Independents","games",10
"327",2010,"Notre Dame","FBS Independents","thirdDownConversions",69
"328",2004,"Notre Dame","FBS Independents","passesIntercepted",9
"329",2012,"Notre Dame","FBS Independents","fourthDowns",6
"330",2006,"Notre Dame","FBS Independents","rushingAttempts",423
"331",2014,"Notre Dame","FBS Independents","puntReturnYards",195
"332",2016,"Notre Dame","FBS Independents","turnovers",18
"333",2023,"Notre Dame","FBS Independents","fumblesLost",2
"334",2023,"Notre Dame","FBS Independents","rushingAttempts",178
"335",2005,"Notre Dame","FBS Independents","firstDowns",314
"336",2017,"Notre Dame","FBS Independents","rushingTDs",35
"337",2020,"Notre Dame","FBS Independents","netPassingYards",2849
"338",2012,"Notre Dame","FBS Independents","thirdDownConversions",82
"339",2008,"Notre Dame","FBS Independents","rushingYards",1426
"340",1993,"Notre Dame","FBS Independents","games",12
"341",2021,"Notre Dame","FBS Independents","interceptionYards",300
"342",2000,"Notre Dame","FBS Independents","games",12
"343",2020,"Notre Dame","FBS Independents","fourthDowns",17
"344",2005,"Notre Dame","FBS Independents","rushingTDs",21
"345",2014,"Notre Dame","FBS Independents","passesIntercepted",16
"346",2006,"Notre Dame","FBS Independents","penalties",87
