"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"156",NA,13207,87,"Notre Dame","FBS Independents","Chicago",1969,119,5,15,"Jim Winegardner","Tight End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,22401,87,"Notre Dame","FBS Independents","Pittsburgh",1995,120,4,22,"Oliver Gibson","Defensive End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",1953181,7415,87,"Notre Dame","FBS Independents","Houston",2004,122,4,26,"Glenn Earl","Defensive Back",73,222,140,11,63,NA,NA,NA,NA,NA,NA
"159",NA,21106,87,"Notre Dame","FBS Independents","Las Vegas",1990,123,5,14,"Stan Smagala","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",550966,101617,87,"Notre Dame","FBS Independents","Miami",2018,123,4,23,"Durham Smythe","Tight End",77,253,186,13,55,"Belton","TX","USA","31.0560132","-97.464453","48027"
"161",NA,13659,87,"Notre Dame","FBS Independents","Kansas City",1970,130,5,26,"Mike Oriard","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",3129310,103729,87,"Notre Dame","FBS Independents","Los Angeles",2019,130,4,28,"Drue Tranquill","Inside Linebacker",74,234,121,4,68,"Fort Wayne","IN","USA","41.0799898","-85.1386015","18003"
"163",NA,20803,87,"Notre Dame","FBS Independents","Chicago",1989,130,5,18,"Mark Green","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,22026,87,"Notre Dame","FBS Independents","Kansas City",1993,130,5,18,"Lindsay Knapp","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,22223,87,"Notre Dame","FBS Independents","Indianapolis",1994,133,5,2,"John Covington","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,4033,87,"Notre Dame","FBS Independents","Tennessee",2002,133,4,35,"Rocky Boiman","Linebacker",NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",4046678,105150,87,"Notre Dame","FBS Independents","New Orleans",2021,133,4,28,"Ian Book","Quarterback",72,211,221,10,43,"El Dorado Hills","CA","USA","38.6561185","-121.0743265","06017"
"168",NA,22858,87,"Notre Dame","FBS Independents","Detroit",1997,135,5,5,"Pete Chryplewicz","Tight End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,21420,87,"Notre Dame","FBS Independents","Tampa Bay",1991,136,5,25,"Tim Ryan","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,18468,87,"Notre Dame","FBS Independents","Dallas",1982,137,5,26,"Phil Pozderac","Offensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
